title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Spirited Away,movie,"Adventure, Animation, Family",2001.0,8.6,886354.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
"O Brother, Where Art Thou?",movie,"Comedy, Crime, Drama",2000.0,7.7,337703.0,"AU, GB, GG, GI, IE, NZ"
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993.0,8.0,703249.0,"AD, AT, BE, DE, DZ, FR, GF, IL, LI, LU, MA, MC, MU, PF, PL, TN, TR"
Bad Education,movie,"Crime, Drama",2004.0,7.4,64350.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001.0,8.0,869977.0,TW
Brokeback Mountain,movie,"Drama, Romance",2005.0,7.7,395043.0,"FR, NL"
Akira,movie,"Animation, Drama, Fantasy",1988.0,8.0,211843.0,"AG, AR, BE, BO, BR, BZ, CH, CL, CO, CR, CU, DO, EC, FR, GT, HK, HN, IT, JP, LC, LU, MX, NI, NL, PA, PE, PY, SM, SV, UY, VE"
Lost in Translation,movie,"Comedy, Drama",2003.0,7.7,504207.0,CA
The Dark Knight,movie,"Action, Crime, Drama",2008.0,9.0,2961641.0,"AD, AT, AU, BA, BG, CH, CZ, DE, DK, ES, FI, HR, HU, IT, JP, KR, LI, LU, MD, ME, MK, NO, NZ, PL, PT, RO, RS, SE, SI, SK, SM"
Ocean's Eleven,movie,"Crime, Thriller",2001.0,7.7,635359.0,"BE, HR"
Ocean's Twelve,movie,"Crime, Thriller",2004.0,6.5,421865.0,BE
Saw,movie,"Horror, Mystery, Thriller",2004.0,7.6,482342.0,"AL, AT, AZ, BG, BY, CA, CZ, DE, DK, EE, ES, FI, GB, GG, GI, GR, HR, HU, IE, IS, IT, KR, LI, LT, LU, LV, MC, MD, ME, MK, MT, NO, PL, PT, RO, RS, SE, SI, SK, SM, UA"
Minority Report,movie,"Action, Crime, Mystery",2002.0,7.6,595656.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
